drh_id,int_id,name,poll_type,year_from,year_to,region,lat,lon
RW50cnk6MTA3MQ==,1071,Digital Shinto Communities,religious_group,2001,2021,Global Digital Shinto Communities Network,,
RW50cnk6MjY5MA==,2690,Winners Chapel International,religious_group,2002,2026,Great Britain_Political Territory_DRH,54.0,-2.0
RW50cnk6OTg5,989,Opus Dei,religious_group,1928,2020,Opus Dei (66 Countries),40.4168,-3.7038
RW50cnk6MjYyMQ==,2621,The Jesus Fellowship Church,religious_group,2007,2019,Great Britain_Political Territory_DRH,54.0,-2.0
RW50cnk6OTU4,958,Society of Jesus,religious_group,1540,1773,Italy,42.6384,12.6743
RW50cnk6MTQwNw==,1407,Classical Chan Buddhism,religious_group,750,950,Tang China,34.0,108.0
RW50cnk6NjMx,631,Cayapa,religious_group,1879,1909,Rio Cayapas drainage,1.0,-78.8
RW50cnk6NzIz,723,Trumai,religious_group,1910,1940,"Trumai village of Vanivani, central Mato Grosso State, Brazil",-12.0,-54.0
RW50cnk6NjEx,611,Javanese,religious_group,1930,1960,Town and environs of Pare,-4.0,37.8
RW50cnk6NjUy,652,Tiwi,religious_group,1904,1930,Melville Island,-11.6,131.0
RW50cnk6NjYw,660,Iban,religious_group,1941,1966,"Sarawak, Borneo Island",1.55,110.36
RW50cnk6NzMz,733,Kaska,religious_group,1870,1915,Upper Liard River,60.0,-129.0
RW50cnk6Njg0,684,Huron,religious_group,1615,1640,Huronia,44.8,-79.5
RW50cnk6ODUw,850,Pre-Christian Religion / Paganism in Gaul,religious_group,-600,-51,Gaul,46.6034,1.8883
RW50cnk6ODUy,852,Pre-Christian Religion / Paganism in Ireland,religious_group,-500,900,Iron Age Ireland,53.0,-8.0
RW50cnk6ODUz,853,Pre-Christian Religion / Paganism in Northern Britain (Pictland / Scotland),religious_group,-500,900,Northern Britain / Scotland,57.0,-4.0
RW50cnk6MTYyNA==,1624,Neo-Assyrian Healers (āšipu/mašmaššu-exorcists),religious_group,-900,-612,Cities integrated in the Assyrian empire,36.36,43.16
RW50cnk6MTE4Mw==,1183,Religion at Nippur in the Ur III period,religious_group,-2100,-2000,Ur III core region,30.96,46.1
RW50cnk6MTA0OQ==,1049,Chalcolithic Southern Levant,religious_group,-4500,-3600,Levant,33.0,36.0
RW50cnk6MjY3Mw==,2673,Gardnerian Wicca,religious_group,1939,2025,"Europe, the Americas, Australasia",,
