culture_id,cluster_id,method
Aj27,0,kmeans
Ah21,0,kmeans
Ag24,0,kmeans
Ef6,2,kmeans
Ag41,0,kmeans
Na6,2,kmeans
Ae22,2,kmeans
Nd7,0,kmeans
Ig18,0,kmeans
CARNEIRO4_035,0,kmeans
Ae42,0,kmeans
Ad27,0,kmeans
SCCS95,0,kmeans
Ce4,4,kmeans
Na23,2,kmeans
Aj22,0,kmeans
Sa10,0,kmeans
Na34,2,kmeans
Ai18,4,kmeans
Ai13,0,kmeans
Nc21,0,kmeans
Ne8,2,kmeans
Ac33,0,kmeans
Ic7,2,kmeans
Ac5,4,kmeans
SCCS72,0,kmeans
Ih11,0,kmeans
Ae56,0,kmeans
If16,0,kmeans
Ad25,0,kmeans
CARNEIRO4_040,0,kmeans
CARNEIRO6_001,0,kmeans
ch21,0,kmeans
Ih4,2,kmeans
Ae17,0,kmeans
Ac23,2,kmeans
Ig10,4,kmeans
Sa12,0,kmeans
Ai29,0,kmeans
Ab16,4,kmeans
CARNEIRO4_007,0,kmeans
SCCS68,5,kmeans
Ai30,0,kmeans
Af15,4,kmeans
Cd20,4,kmeans
Aj8,2,kmeans
WNAI97,0,kmeans
Ae57,0,kmeans
Ae28,4,kmeans
WNAI155,1,kmeans
Ch9,0,kmeans
ch19,0,kmeans
ch24,0,kmeans
Ab14,4,kmeans
Ag11,0,kmeans
Ai31,0,kmeans
Af4,0,kmeans
Ae35,0,kmeans
Ah30,0,kmeans
Ae24,2,kmeans
Ig20,0,kmeans
Ei2,2,kmeans
SCCS4,0,kmeans
Ae16,0,kmeans
Ae6,2,kmeans
Ia16,2,kmeans
Ac27,2,kmeans
Ai32,4,kmeans
SCCS10,3,kmeans
Ac28,2,kmeans
WNAI82,1,kmeans
WNAI21,0,kmeans
Ac6,4,kmeans
Aj6,4,kmeans
Ae29,0,kmeans
Ei20,0,kmeans
Ac34,0,kmeans
Ac11,4,kmeans
Ai36,0,kmeans
Ai45,0,kmeans
Sc12,2,kmeans
Ai33,0,kmeans
Ah7,4,kmeans
Ie21,4,kmeans
Ef10,0,kmeans
Ic1,2,kmeans
WNAI13,1,kmeans
Ac42,0,kmeans
Ac41,0,kmeans
Eg6,4,kmeans
Ej8,2,kmeans
CARNEIRO6_030,0,kmeans
Ca22,4,kmeans
Ag31,0,kmeans
Ac43,0,kmeans
Sa8,4,kmeans
Ag46,0,kmeans
Ai5,0,kmeans
Ie29,0,kmeans
SCCS115,3,kmeans
Ed10,2,kmeans
Aj16,0,kmeans
CARNEIRO4_042,0,kmeans
Ij7,4,kmeans
CARNEIRO4_015,0,kmeans
ec15,0,kmeans
Ca38,0,kmeans
Ai24,0,kmeans
CARNEIRO4_022,0,kmeans
Sg2,0,kmeans
Sc16,4,kmeans
SCCS70,0,kmeans
Ah5,4,kmeans
SCCS60,3,kmeans
WNAI144,1,kmeans
Ad9,2,kmeans
Aj2,2,kmeans
SCCS27,7,kmeans
WNAI41,1,kmeans
Ac15,0,kmeans
Ai25,0,kmeans
Ae36,0,kmeans
Ad5,0,kmeans
Ag14,0,kmeans
Ai14,0,kmeans
Sj10,4,kmeans
Aj18,0,kmeans
Ie22,4,kmeans
SCCS20,3,kmeans
Nf9,2,kmeans
Ib7,2,kmeans
Eh2,0,kmeans
Ie14,0,kmeans
Ad35,0,kmeans
Nh1,2,kmeans
Nf7,2,kmeans
Cj10,4,kmeans
Ae59,0,kmeans
Nj13,0,kmeans
Nf4,0,kmeans
ch20,0,kmeans
Ie38,0,kmeans
Cb11,0,kmeans
Ng2,0,kmeans
SCCS126,3,kmeans
Ib6,4,kmeans
Sa9,2,kmeans
Ed15a,0,kmeans
Ae52,0,kmeans
Ag50,0,kmeans
Ad3,2,kmeans
Ce7,2,kmeans
Ea7,4,kmeans
WNAI140,1,kmeans
Ej6,2,kmeans
Ae2,2,kmeans
ch25,0,kmeans
Ig19,0,kmeans
Ah32,0,kmeans
Nc23,2,kmeans
SCCS125,0,kmeans
Ai40,2,kmeans
If10,0,kmeans
Ai34,0,kmeans
Ag47,4,kmeans
Ih1,4,kmeans
Ie10,2,kmeans
Ab10,2,kmeans
Ac21,4,kmeans
CARNEIRO6_015,0,kmeans
Ig17,0,kmeans
Eg14,4,kmeans
Eg8,0,kmeans
Ai15,0,kmeans
CARNEIRO4_075,0,kmeans
Ae49,0,kmeans
Ej13,0,kmeans
CARNEIRO6_057,0,kmeans
Id7,0,kmeans
Se6,2,kmeans
Ai19,0,kmeans
WNAI20,0,kmeans
Ac39,0,kmeans
Ae46,0,kmeans
Ig7,4,kmeans
CARNEIRO4_045,0,kmeans
Ie5,4,kmeans
WNAI169,1,kmeans
Ec9,4,kmeans
Aj7,2,kmeans
Ag12,0,kmeans
Ca32,4,kmeans
Aa7,0,kmeans
Na5,0,kmeans
SCCS146,0,kmeans
Ih9,0,kmeans
If13,0,kmeans
CARNEIRO6_032,0,kmeans
Ae41,0,kmeans
Ab17,2,kmeans
Ab19,4,kmeans
Ah26,0,kmeans
Sc18,0,kmeans
Ce5,0,kmeans
SCCS82,3,kmeans
ec17,0,kmeans
SCCS53,3,kmeans
Na43,0,kmeans
WNAI107,0,kmeans
Sa14,0,kmeans
Ie37,0,kmeans
ec12,0,kmeans
Ae23,0,kmeans
Ah16,0,kmeans
Ai23,2,kmeans
Ai39,4,kmeans
Cb29,0,kmeans
Ad16,2,kmeans
Ac9,4,kmeans
Ad51,0,kmeans
